pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,play_id,downloaded,filename
SI,2025-09-06,94.4,-2.4,5.28,"Lord, Brad",673548,695418,single,hit_into_play,,,,,5,Seiya Suzuki singles on a ground ball to center fielder Jacob Young.,R,R,R,CHC,WSH,X,8,ground_ball,1,1,2025,-1.52,0.41,-0.185870942000635,2.255355977095361,,,,2,6,Bot,111.97,86.61,,,,,9.006022231754642,-137.25196709422258,-3.1063824258014288,-21.219156560110605,27.675443262779485,-26.48241102079917,3.21,1.43,116,104.1,6,93.4,2202,5.5,776440,595751,605137,683083,691781,682928,695734,696285,686611,54.97,0.656,0.627,0.9,1,1,0,4,44,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,253,0.023,0.342,77.1,6.9,0.775,-0.342,104.1,-1,-1,0.326,0.326,25,30,25,31,3,2,6,1,6,1,2.13,1.52,1.52,16.1,1.5088014042782176,-0.7059460624250136,35.73463097481858,35.10828652281281,30.62232939337954,be6c4fa5-d3dd-3d70-956d-fd470efe8630,True,776440_be6c4fa5_SI.mp4
FF,2025-09-04,92.9,1.15,6.21,"Cameron, Noah",545361,702070,,foul,,,,,2,Foul,R,R,L,KC,LAA,S,,,0,1,2025,0.54,1.33,-0.1428687144445943,3.1558920598535787,,,687263,1,5,Top,,,,,,,-4.508105793381971,-135.32115559337834,-5.027291409253542,7.60772849786949,26.225526807500643,-14.944589264960454,3.62,1.76,237,72.5,38,93.5,2349,6.4,776463,521692,686469,686681,672580,677951,624428,664728,573262,54.14,,,,,,,,35,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,158,0.006,-0.047,71.7,7.0,,0.047,88.0,-1,1,0.365,0.635,25,33,26,34,3,2,10,3,5,1,1.29,0.54,-0.54,57.0,5.559896317647651,6.133959861838498,31.157565205544223,30.811790478628154,18.57319101459454,a6795e29-f12e-32c3-aa0e-f06ac75a772f,True,776463_a6795e29_FF.mp4
SL,2025-09-28,86.5,2.12,5.54,"Soto, Gregory",691594,642397,hit_by_pitch,hit_by_pitch,,,,,13,Javier Sanoja hit by pitch. Heriberto Hernández to 2nd.,R,R,L,MIA,NYM,B,,,0,0,2025,-0.9,-0.02,-2.45546584848882,0.3236869973168463,681393,,681715,2,8,Bot,,,,,,,-9.10258819116116,-125.50509007747354,-6.058127446388792,-7.160706289704974,30.723868715448447,-31.09035359082394,3.33,1.53,,,,86.1,2825,6.7,776148,682626,624413,643446,677595,596019,607043,656775,665742,53.79,,0.722289,0.7,1,0,0,,70,1,Slider,4,0,4,0,0,4,4,0,Standard,Standard,313,0.001,0.169,,,,-0.169,,4,4,0.988,0.988,30,22,30,23,1,3,2,4,,,3.14,-0.9,0.9,41.0,,,,,,7f042c3a-f894-308f-b201-fcacb42e62cd,True,776148_7f042c3a_SL.mp4
ST,2025-09-19,81.8,3.14,5.3,"Raley, Brooks",695734,548384,field_out,hit_into_play,,,,,4,"Daylen Lile grounds out, second baseman Brett Baty to first baseman Pete Alonso.",R,L,L,NYM,WSH,X,4,ground_ball,1,2,2025,-1.8,0.5,-0.7516580348114372,2.851948547940387,,,,2,5,Top,149.43,136.11,,,,,-5.3106926148306215,-118.97181611754228,0.1804956891989959,-15.76193620000068,26.30993200937146,-27.771678075121017,3.45,1.62,125,75.4,11,81.5,2952,6.5,776259,682626,624413,683146,668901,596019,607043,642350,665742,54.02,0.334,0.301,0.0,1,0,0,4,44,6,Sweeper,8,6,6,8,6,8,6,8,Infield shade,Standard,287,0.009,-0.182,68.2,7.3,0.334,0.182,88.0,2,-2,0.803,0.1969999999999999,37,22,37,23,1,2,1,2,2,1,2.95,-1.8,-1.8,28.1,11.755782190791525,-41.63611861968963,40.16545424495085,43.24084545176849,36.41538926842224,7162d643-fd10-3f31-b9ed-a117acd8792e,True,776259_7162d643_ST.mp4
SI,2025-09-18,97.2,0.2,6.53,"Ashby, Aaron",694203,676879,,ball,,,,,7,Ball,R,R,L,MIL,LAA,B,,,0,0,2025,1.34,0.67,-0.5628041444498055,1.5733868058080962,,695681,665861,1,7,Top,,,,,,,-5.008677868637897,-141.30227709379508,-9.17856954285692,19.096787781759243,30.455893387154845,-21.284135992239587,3.58267640811702,1.64770762711185,,,,95.9,2204,5.5,776274,661388,683734,668930,702332,687401,686555,663368,694192,55.03,,,,,,,,54,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,142,-0.009,0.031,,,,-0.031,,0,0,0.436,0.5640000000000001,27,21,27,21,1,2,4,1,2,1,1.73,1.34,-1.34,49.1,,,,,,2662a7aa-c1c4-350e-8367-d53bed0a266f,True,776274_2662a7aa_SI.mp4
FF,2025-09-19,97.2,-1.95,6.22,"Brown, Hunter",647304,686613,field_out,hit_into_play,,,,,11,"Josh Naylor grounds out, shortstop Jeremy Peña to first baseman Christian Walker.",R,L,R,HOU,SEA,X,6,ground_ball,3,2,2025,-0.53,1.51,-1.247399771846598,2.500363568803193,,641487,663728,2,3,Top,120.33,149.05,,,,,3.139592175192013,-141.27154044700308,-7.898231787849399,-7.877542192527444,35.323864098212844,-10.378605490285612,3.26,1.56,7,95.2,-19,97.6,2330,6.8,776262,673237,572233,514888,621043,665161,660821,676694,805904,53.72,0.132,0.104,0.0,1,0,0,2,19,6,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,209,0.047,-0.282,,,0.144,0.282,95.2,-1,1,0.39,0.61,26,28,27,28,2,1,6,1,5,1,0.93,0.53,-0.53,56.6,,,,,,97c2b3d0-340d-3a60-92af-d575023a29ed,True,776262_97c2b3d0_FF.mp4
SL,2025-09-08,86.8,-1.96,6.74,"Mikolas, Miles",645302,571945,,called_strike,,,,,3,Called Strike,R,R,R,SEA,STL,S,,,0,0,2025,0.29,0.15,0.3434582576081835,3.066808699513756,593871,,,2,5,Bot,,,,,,,4.901144410630362,-126.32512014734635,-2.9153870067587246,2.0889337801750054,25.04928467789256,-30.139193941097023,3.20138237321906,1.46874838611476,,,,86.5,2316,6.0,776400,699625,676475,695336,669357,691026,663457,687363,691023,54.49,,,,,,,,34,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,133,-0.007,-0.044,,,,0.044,,-2,-2,0.27,0.27,36,28,37,28,2,1,6,1,6,1,2.86,-0.29,-0.29,50.7,,,,,,56e30c6e-f8b9-37db-bbd6-b3205242f233,True,776400_56e30c6e_SL.mp4
ST,2025-09-14,78.4,-1.54,5.87,"Ober, Bailey",606466,641927,,foul,,,,,5,Foul,R,L,R,MIN,AZ,S,,,2,2,2025,0.88,0.05,0.2425217733822435,2.489077958729951,,,,2,5,Top,,,,,,,2.258574220595709,-114.24717513021812,-0.5331326119367528,7.235380170291333,21.857717677545256,-31.823866654172743,3.64,1.72,,,,79.5,2304,7.1,776324,681508,665019,807712,668904,686797,668885,621439,670242,53.44,,,,,,,,38,6,Sweeper,2,4,4,2,4,2,4,2,Infield shade,Standard,56,0.0,0.0,74.7,8.3,,0.0,,-2,2,0.281,0.719,29,31,30,32,3,2,7,1,6,1,3.66,-0.88,0.88,27.7,15.44193680147929,-25.471016955043027,32.69746073531123,27.937562093965845,44.19801008511624,ff20a37e-9aa1-35db-bf9a-568335c7aaca,True,776324_ff20a37e_ST.mp4
FF,2025-09-02,91.3,-1.96,5.91,"Herget, Kevin",690993,643361,,ball,,,,,13,Ball,R,L,R,DET,NYM,B,,,0,0,2025,-1.14,1.24,-1.198016616817405,2.413053886385164,,,693307,1,8,Bot,,,,,,,4.293008862058861,-132.7811508343413,-5.517309207146084,-14.352263580035263,28.300168608850363,-16.527198402535785,3.39081016022824,1.56450836100502,,,,90.2,2260,5.6,776490,620443,676724,683146,677595,682668,607043,656775,665742,54.89,,,,,,,,71,1,4-Seam Fastball,2,12,2,12,12,2,2,12,Infield shade,Standard,213,0.0,0.035,,,,-0.035,,-10,-10,0.001,0.001,34,23,34,24,1,3,5,1,4,1,1.5,1.14,-1.14,44.6,,,,,,eaeffe7a-9ef3-35c8-a073-07e89ea1006f,True,776490_eaeffe7a_FF.mp4
FF,2025-09-16,89.9,2.51,5.5,"Alexander, Tyler",702616,641302,,called_strike,,,,,4,Called Strike,R,L,L,CWS,BAL,S,,,1,0,2025,0.68,1.38,-0.5916006897452938,2.5342142158945995,,,,0,8,Top,,,,,,,-9.127350418689751,-130.67116711610174,-4.327719245667067,9.614258081690917,26.27110266383227,-15.60948628405928,3.35588784107079,1.6200004906778,,,,90.2,2322,6.4,776306,691019,672820,805367,678246,695657,643217,681460,643565,54.08,,,,,,,,64,2,4-Seam Fastball,2,8,8,2,8,2,8,2,Strategic,Standard,135,0.0,-0.05,,,,0.05,,-6,6,0.008,0.992,30,21,31,22,1,4,1,1,8,1,1.44,0.68,0.68,32.9,,,,,,1ac078b1-b675-3194-8e7a-8a3a97feb49b,True,776306_1ac078b1_FF.mp4
